"","CNT","Gender","Mothereduc","HmwPC","Books","Cars","IMM","LEARNMINWEEK","ESCS","EMOSUPS","PV10MATH","PV10SCIE"
"271","FRA",1,2,1,1,3,1,1150,6.9188,1.3649,507.668,540.019
"272","FRA",1,3,1,1,4,1,2150,6.1154,2.2651,615.125,620.78
"273","FRA",1,2,1,1,2,1,2280,5.9415,4.4814,514.997,539.302
"274","FRA",0,1,1,1,3,1,750,7.2643,4.4814,479.983,521.356
"275","FRA",1,1,1,1,3,1,1440,6.0926,4.4814,435.175,428.207
"276","FRA",0,2,1,1,2,1,1760,4.69,4.4814,461.836,375.71
"277","FRA",0,1,1,1,3,1,1925,5.2573,4.4814,459.384,572.151
"278","FRA",0,1,1,1,4,1,2520,6.7373,2.7892,500.048,462.821
"279","FRA",1,2,1,1,2,1,1740,5.0513,2.3811,602.315,542.687
"280","FRA",1,1,1,1,2,1,825,7.1061,2.7892,578.102,570.423
"281","FRA",1,1,1,1,3,1,1375,7.0255,2.7892,594.229,648.779
"282","FRA",1,1,1,1,2,1,1485,5.8767,4.087,531.943,519.501
"283","FRA",0,1,1,1,2,1,1650,5.9146,4.4814,493.25,547.738
"284","FRA",1,1,1,1,4,1,1760,5.7063,4.4814,664.135,562.754
"285","FRA",0,1,1,1,3,1,1800,5.5939,3.9497,625.469,594.18
"286","FRA",1,1,1,1,2,0,1595,5.7006,4.4814,512.893,531.143
"287","FRA",0,1,1,1,1,0,1140,5.1386,4.4814,487.289,479.392
"288","FRA",0,1,1,1,3,1,2100,6.3689,4.4814,536.334,598.028
"289","FRA",0,1,1,1,3,1,2400,7.124,1.778,524.188,552.187
"290","FRA",1,2,1,1,3,1,2280,5.0822,2.7892,363.532,407.886
"291","FRA",0,3,1,0,3,1,500,5.4946,4.4814,292.567,294.962
"292","FRA",0,1,1,1,2,1,1680,5.896,4.4814,586.163,591.19
"293","FRA",1,1,1,1,3,1,1815,7.0729,4.4814,583.013,641.496
"294","FRA",0,1,1,1,4,1,1200,7.0074,2.7892,510.171,500.002
"295","FRA",1,2,1,1,2,1,2520,6.8814,4.4814,459.363,434.31
"296","FRA",1,2,1,1,4,1,1650,6.5803,4.4814,522.74,508.382
"297","FRA",1,1,1,1,3,1,1760,6.7272,4.4814,538.747,555.684
"298","FRA",0,2,1,1,4,1,1265,5.4874,2.3744,504.78,476.247
"299","FRA",1,1,1,1,4,1,1800,6.2589,4.4814,576.909,541.975
"300","FRA",0,2,1,1,3,1,1925,6.0827,2.7892,603.637,632.856
"301","FRA",1,1,1,1,3,1,1925,7.4383,3.6637,614.477,567.532
"302","FRA",1,1,1,0,3,1,1500,5.7681,2.0529,504.876,581.014
"303","FRA",0,3,1,1,2,0,1440,5.4621,2.3777,354.629,368.884
"304","FRA",0,1,1,0,3,1,1920,5.0614,4.4814,425.628,412.01
"305","FRA",0,1,1,1,2,0,1920,6.7388,3.6595,645.999,750.94
"306","FRA",0,2,1,1,4,1,2090,6.5565,2.7892,473.103,455.543
"307","FRA",0,3,1,1,2,1,1595,5.1991,2.3868,406.518,431.725
"308","FRA",1,1,1,1,3,1,1380,6.694,2.2621,440.493,468.658
"309","FRA",1,1,1,1,3,1,1650,5.6848,3.9497,535.898,528.034
"310","FRA",0,1,1,1,3,1,1815,6.2605,4.4814,527.694,619.236
"311","FRA",0,1,1,1,2,1,1320,6.5797,2.8029,531.663,492.328
"312","FRA",0,1,1,1,3,1,1740,6.5224,4.4814,565.011,580.887
"313","FRA",0,1,1,1,3,1,1200,6.7359,3.6637,473.623,522.645
"314","FRA",0,1,1,1,3,1,2035,5.9904,3.4584,481.96,470.792
"315","FRA",0,1,1,0,4,1,1760,5.8561,1.8644,484.366,484.24
"316","FRA",1,1,1,1,1,1,1760,7.1147,4.4814,574.545,571.22
"317","FRA",0,1,1,1,3,1,1925,6.4806,4.4814,370.914,472.362
"318","FRA",1,1,1,1,1,1,1680,4.9038,3.809,469.376,506.26
"319","FRA",1,1,1,1,3,1,1250,5.783,4.087,465.491,418.408
"320","FRA",0,1,1,1,2,1,1540,5.5129,4.4814,300.963,349.495
"321","FRA",1,1,1,1,2,0,2200,7.1778,3.6637,497.987,500.409
"322","FRA",1,1,1,1,4,1,1155,5.6448,3.6637,610.945,650.139
"323","FRA",0,1,1,1,3,1,1380,6.6417,4.087,629.823,602.718
"324","FRA",1,1,1,1,2,1,2310,6.658,4.4814,445.711,502.492
"325","FRA",1,1,1,1,2,1,880,7.007,4.4814,502.672,548.34
"326","FRA",0,1,1,1,1,0,1100,5.3313,4.4814,569.467,554.31
"327","FRA",1,1,1,1,3,1,1980,6.5927,4.4814,449.21,460.142
